date	state	new_confirmed	new_deceased	new_recovered	new_tested	total_confirmed	total_deceased	total_recovered	total_tested
2020-01-20	CA	1	0	0	0	5	0	0	0
2020-01-20	WA	0	0	0	0	7	0	0	12
2020-01-20	IL	0	0	0	0	4	0	0	0
2020-01-20	AZ	0	0	0	0	2	0	0	0
2020-01-27	MA	0	0	0	0	3	0	0	0
2020-01-27	WA	0	0	0	5	7	0	0	28
2020-01-27	IL	1	0	0	0	12	0	0	0
2020-01-27	CA	4	0	0	0	24	0	0	0
2020-01-27	AZ	0	0	0	0	7	0	0	0
2020-02-03	MA	0	0	0	0	7	0	0	0
2020-02-03	IL	0	0	0	0	14	0	0	0
2020-02-03	WI	0	0	0	0	6	0	0	0
2020-02-03	WA	0	0	0	9	7	0	0	81
2020-02-03	CA	1	0	0	0	43	0	0	0
2020-02-03	AZ	0	0	0	0	7	0	0	0
2020-02-10	WI	0	0	0	0	7	0	0	0
2020-02-10	NE	0	0	0	0	10	0	0	0
2020-02-10	TX	1	0	0	0	11	0	0	0
2020-02-10	AZ	0	0	0	0	7	0	0	0
2020-02-10	IL	0	0	0	0	14	0	0	0
2020-02-10	WA	0	0	0	34	7	0	0	187
2020-02-10	MA	0	0	0	0	7	0	0	0
2020-02-10	CA	0	0	0	0	49	0	0	0
2020-02-17	NE	2	0	0	0	76	0	0	0
2020-02-17	MA	0	0	0	0	7	0	0	0
2020-02-17	IL	0	0	0	0	14	0	0	0
2020-02-17	CA	4	0	0	0	60	0	0	0
2020-02-17	TX	8	0	0	0	28	0	0	0
2020-02-17	AZ	0	0	0	0	7	0	0	0
2020-02-17	WI	0	0	0	0	7	0	0	0
2020-02-17	WA	4	0	0	98	11	0	0	679
2020-02-24	WI	0	0	0	0	7	0	0	0
2020-02-24	IL	2	0	0	0	18	0	0	0
2020-02-24	GA	0	0	0	0	2	0	0	0
2020-02-24	FL	0	0	0	0	4	0	0	0
2020-02-24	CA	27	0	0	0	189	0	0	0
2020-02-24	MA	1	0	0	0	8	0	0	0
2020-02-24	MI	9	0	0	9	27	0	0	27
2020-02-24	AZ	0	0	0	0	7	0	0	0
